customer_id,dep_negocio,venta_2020,venta_2019,crecimiento_2020,Crecen,cant_meses,skus_unique_prom,venta_tier_1_prom,venta_tier_2_prom,venta_tier_3_prom,venta_tier_1_prom,venta_tier_2_prom,venta_tier_3_prom,credito,linea_de_credito,antiguedad_años,reja,gaseosas,delivery,agente,tipo_mercado
1917905,El Alto,1293587,"1125420,69","0,1494252874",1,4,1,0,0,1293587,0,0,1,1,1050,6,0,1,1,0,C
1916541,Santa Cruz,"1659033,905","1426769,158","0,1627906977",1,7,"13,85714286","207897,3333","388541,5714",1062595,"0,1253122873","0,2341974871","0,6404902256",1,1622,1,0,1,1,0,DISTRIBUIDOR
1917110,Santa Cruz,624676,"574701,92","0,08695652174",0,8,"35,75","196820,75","191562,875","236292,375","0,3150765357","0,3066595723","0,378263892",1,0,4,0,0,0,0,DISTRIBUIDOR
1913344,Santa Cruz,"336036,875","299072,8188","0,1235955056",1,8,"53,125","69957,375","177283,75","88795,75","0,2081836257","0,5275723088","0,2642440655",1,1082,13,0,1,1,0,A
1924835,Santa Cruz,"392526,65","337572,919","0,1627906977",1,6,"5,833333333","316237,25","76242,4",47,"0,8056452982","0,1942349647","0,000119737093",1,1220,7,0,1,1,0,DISTRIBUIDOR
1911826,El Alto,"269203,2083","231514,7592","0,1627906977",1,8,"20,75","24063,375","177423,5","67716,33333","0,0893874005","0,6590690397","0,2515435598",1,849,7,0,1,1,0,A
1925484,Santa Cruz,"251198,625","231102,735","0,08695652174",0,8,"38,125","109066,25","93572,25","48560,125","0,4341833081","0,3725030342","0,1933136577",1,0,8,0,0,0,0,PROVINCIA
1923060,El Alto,424153,"394462,29","0,0752688172",0,5,4,92526,153842,177785,"0,2181429814","0,3627040243","0,4191529943",0,0,6,0,0,0,0,A
1917511,El Alto,"304817,3333","286528,2933","0,06382978723",0,5,"7,4","135326,25","162349,75","7141,333333","0,4439585129","0,5326132482","0,02342823899",0,0,6,0,0,0,0,A
1914850,El Alto,"255153,8","239844,572","0,06382978723",0,5,"45,8","92262,75","121180,8","41710,25","0,3615966135","0,4749323741","0,1634710124",0,0,13,0,0,0,0,A
1899961,El Alto,"217383,3095","202166,4779","0,0752688172",0,7,"8,142857143","41063,16667","151860,1429",24460,"0,1888975136","0,6985823483","0,1125201381",0,0,11,0,0,0,0,A
1927520,Tarija,356639,"324541,49","0,0989010989",0,6,"10,33333333","19102,2","10649,8",326887,"0,05356172488","0,0298615687","0,9165767064",1,1019,10,0,1,0,0,C
1895255,La Paz,"193348,15","164345,9275","0,1764705882",1,5,"10,6","47476,75","145871,4",0,"0,2455505781","0,7544494219",0,1,915,10,0,1,1,0,A
1926002,Santa Cruz,"175751,3333","149388,6333","0,1764705882",1,3,"49,66666667",44137,118080,"13534,33333","0,2511332299","0,6718583453","0,07700842478",1,1516,5,0,1,1,0,A
1913658,La Paz,"177581,1905","156271,4476","0,1363636364",1,7,"41,28571429","34573,57143","116181,2857","26826,33333","0,19469163","0,6542431966","0,1510651734",1,892,1,0,1,1,0,B
1913413,La Paz,"183582,8393","174403,6973","0,05263157895",0,8,"26,125","74786,25","79080,71429","29715,875","0,4073705924","0,4307631072","0,1618663003",0,0,7,1,0,0,0,A
1881210,Beni,"177968,0417","153052,5158","0,1627906977",1,8,"14,5","19701,16667","137905,125","20361,75","0,1107005869","0,7748870174","0,1144123957",1,873,3,0,1,1,0,PROVINCIA
1925222,Santa Cruz,"284269,75","264370,8675","0,0752688172",0,7,"6,375",131801,"152421,75",47,"0,4636476445","0,5361870195","0,0001653359177",0,0,9,0,0,0,0,DISTRIBUIDOR
1926595,Cochabamba,"173414,3393","157807,0488","0,0989010989",0,8,"23,875","39204,25","95266,375","38943,71429","0,2260727121","0,5493569643","0,2245703236",1,790,13,0,1,0,0,A
1926693,Cochabamba,166920,158574,"0,05263157895",0,3,"16,33333333",35141,131779,0,"0,2105260005","0,7894739995",0,0,0,12,1,0,0,0,PROVINCIA
1913807,La Paz,164743,"153210,99","0,0752688172",0,2,4,43769,120974,0,"0,2656804841","0,7343195159",0,0,0,10,0,0,0,0,B
1899090,El Alto,"162700,7143","141549,6214","0,1494252874",1,7,"34,57142857","42913,85714","115179,8571",4607,"0,2637594883","0,7079247172","0,02831579456",1,1212,7,0,1,1,0,A
1924422,Oruro,"163934,2857","140983,4857","0,1627906977",1,8,"21,625","46468,625","100120,375","17345,28571","0,2834588555","0,610734811","0,1058063335",1,1716,2,0,1,1,0,A
1915038,Santa Cruz,193739,"178239,88","0,08695652174",0,6,"1,333333333",4542,0,189197,"0,02344391165",0,"0,9765560883",1,0,13,0,0,0,0,C
1896112,Santa Cruz,"158453,5714","141023,6786","0,1235955056",1,8,"65,75","76845,875","73868,125","7739,571429","0,4849740798","0,4661815088","0,04884441139",1,1428,3,0,1,1,0,A
1915923,Santa Cruz,"157614,1607","140276,603","0,1235955056",1,8,"38,375","45984,875",98569,"13060,28571","0,2917559868","0,6253816253","0,08286238784",1,901,12,0,1,1,0,A
1918527,Cochabamba,"155522,375","139970,1375","0,1111111111",1,8,"17,125","48240,625","30885,875","76395,875","0,310184467","0,1985944145","0,4912211185",1,614,13,0,1,1,0,C
1925954,Cochabamba,"154969,5","145671,33","0,06382978723",0,8,"47,875","41067,25","106855,125","7047,125","0,2650021456","0,6895235837","0,04547427074",0,0,3,0,0,0,0,A
1896231,La Paz,"219149,5","188468,57","0,1627906977",1,4,"9,25","101983,3333","73883,66667","43282,5","0,4653596441","0,3371381941","0,1975021618",1,604,13,0,1,1,0,A
1916308,Santa Cruz,"158197,0286","134467,4743","0,1764705882",1,7,"27,57142857","98373,42857",42062,"17761,6","0,6218411904","0,2658836287","0,1122751809",1,928,9,0,1,1,0,DISTRIBUIDOR
1914198,Santa Cruz,"148851,2619","136943,161","0,08695652174",0,7,35,"24824,57143","109124,8571","14901,83333","0,1667743431","0,7331134163","0,1001122405",1,0,8,0,0,0,0,A
1890070,La Paz,153349,"142614,57","0,0752688172",0,8,"20,625","30394,875","106448,125",16506,"0,198207194","0,6941559775","0,1076368284",0,0,3,0,0,0,0,A
1919026,Cochabamba,"161453,8","142079,344","0,1363636364",1,5,"26,4",18117,"40810,8",102526,"0,1122116667","0,2527707617","0,6350175716",1,1683,5,0,1,1,0,PROVINCIA
